date,total_return_index,equity_return_percent,unit_nav
2013-04-25,77.79022536625936,-0.7857,2.273
2013-04-26,77.1399768724228,-0.8359,2.254
2013-05-02,77.03730356320561,-0.1331,2.251
2013-05-03,78.20087499622427,1.5104,2.285
2013-05-06,79.09072275280631,1.1379,2.311
2013-05-07,79.15913622798749,0.0865,2.313
2013-05-08,79.56981382673828,0.5188,2.325
2013-05-09,79.09064440787367,-0.6022,2.311
2013-05-10,79.60402178072518,0.6491,2.326
2013-05-13,79.46710286326233,-0.172,2.322
2013-05-14,78.61148056673359,-1.0767,2.297
2013-05-15,78.95375495312115,0.4354,2.307
2013-05-16,79.98046958253154,1.3004,2.337
2013-05-17,81.04141051154383,1.3265,2.368
2013-05-20,81.58900732237032,0.6757,2.384
2013-05-21,81.65746049951379,0.0839,2.386
2013-05-22,81.65746049951379,0.0,2.386
2013-05-23,80.73342467650129,-1.1316,2.359
2013-05-24,81.17834657989349,0.5511,2.372
2013-05-27,81.3152132722272,0.1686,2.376
2013-05-28,82.27351306064038,1.1785,2.404
2013-05-29,82.23928727920716,-0.0416,2.403
2013-05-30,81.89708960483838,-0.4161,2.393
2013-05-31,81.31529268028561,-0.7104,2.376
2013-06-03,81.2810589420672,-0.0421,2.375
2013-06-04,80.28853593132563,-1.2211,2.346
2013-06-05,80.2200498101762,-0.0853,2.344
2013-06-06,79.36442275890087,-1.0666,2.319
2013-06-07,78.2692730892508,-1.3799,2.287
2013-06-13,76.07898575112121,-2.7984,2.223
2013-06-14,76.52389565979377,0.5848,2.236
2013-06-17,76.38699441045839,-0.1789,2.232
2013-06-18,76.69498677192135,0.4032,2.241
2013-06-19,76.14738456636982,-0.714,2.225
2013-06-20,74.05972787109823,-2.7416,2.164
2013-06-21,73.68328227432944,-0.5083,2.153
2013-06-24,69.71337439195312,-5.3878,2.037
2013-06-25,69.50799879099444,-0.2946,2.031
2013-06-26,69.47380085558926,-0.0492,2.03
2013-06-27,69.50805143941108,0.0493,2.031
2013-06-28,70.67168572855824,1.6741,2.065
2013-06-30,70.67168572855824,0.0,2.065
2013-07-01,71.35614100483933,0.9685,2.085
2013-07-02,71.69836505709854,0.4796,2.095
2013-07-03,71.32187694218372,-0.5251,2.084
2013-07-04,71.7325483096168,0.5758,2.096
2013-07-05,71.7325483096168,0.0,2.096
2013-07-08,69.9871519441472,-2.4332,2.045
