date,per_hundred_income,total_return_index
2016-01-25,0.6836000000,111.619219894469
2016-01-26,0.6882000000,111.630248597030
2016-01-27,0.6914000000,111.635735179575
2016-01-28,0.6944000000,111.644603008927
2016-01-30,1.3873000000,111.675723965594
2016-01-31,0.7739000000,111.684366549872
2016-02-01,0.6942000000,111.679833370255
2016-02-02,0.8118000000,111.687783285971
2016-02-03,0.6945000000,111.702246508214
2016-02-04,0.6920000000,111.758007411299
2016-02-13,6.2282000000,111.866728202314
2016-02-14,0.7032000000,111.874594670642
2016-02-15,0.7431000000,111.799070566225
2016-02-16,0.6791000000,111.802184948996
2016-02-17,0.6702000000,111.810803876904
2016-02-18,0.6586000000,111.825990160674
2016-02-20,1.2983000000,111.842743797495
2016-02-21,0.8353000000,111.852086021883
2016-02-22,0.6496000000,111.843694197451
2016-02-23,0.6457000000,111.854269561981
2016-02-24,0.6476000000,111.852569686140
2016-02-25,0.7243000000,111.851718427095
2016-02-27,1.2933000000,111.882965300880
2016-02-28,0.7058000000,111.890862000571
2016-02-29,0.6673000000,111.897210153892
2016-03-01,0.6635000000,111.910235061682
2016-03-02,0.6597000000,111.916499308007
2016-03-03,0.6489000000,111.929354291945
2016-03-05,1.2907000000,111.951631835515
2016-03-06,0.6566000000,111.958982579661
2016-03-07,0.6290000000,111.961549469052
2016-03-08,0.6247000000,111.964068096859
2016-03-09,0.7837000000,111.975080701346
2016-03-10,0.6831000000,111.988325052478
2016-03-12,1.2164000000,112.004185717930
2016-03-13,0.6108000000,112.011026933594
2016-03-14,0.6767000000,112.006293903900
2016-03-15,0.6091000000,112.011996792183
2016-03-16,0.6099000000,112.018828403867
2016-03-17,0.7372000000,112.005797587575
2016-03-19,1.2379000000,112.026389559445
2016-03-20,0.6164000000,112.033294866097
2016-03-21,0.6227000000,112.025704669119
2016-03-22,0.6265000000,112.043922213274
2016-03-23,0.6337000000,112.058870876536
2016-03-24,0.6432000000,112.069438672257
2016-03-26,1.2820000000,112.089415525306
2016-03-27,0.7665000000,112.098007179007
2016-03-28,0.6375000000,112.088330963451
2016-03-29,0.6384000000,112.096607111277
2016-03-30,0.7086000000,112.087734100779
2016-03-31,0.6380000000,112.111702547164
2016-04-03,1.9160000000,112.156736942372
2016-04-04,0.6689000000,112.164239106506
2016-04-05,0.6318000000,112.165720942382
2016-04-06,0.6751000000,112.171051218554
2016-04-07,0.6178000000,112.175730418035
2016-04-09,1.2333000000,112.207521742292
2016-04-10,0.6354000000,112.214651408224
2016-04-11,0.6125000000,112.197958806981
2016-04-12,0.6313000000,112.203920430062
2016-04-13,0.6133000000,112.207437387996
2016-04-14,0.7563000000,112.206942373509
2016-04-16,1.2341000000,112.240989464320
2016-04-17,0.6894000000,112.248727358134
2016-04-18,0.6163000000,112.248914011970
2016-04-19,0.6143000000,112.256931404213
2016-04-20,0.6148000000,112.267198991652
2016-04-21,0.6805000000,112.277082948113
2016-04-23,1.2356000000,112.293208921948
2016-04-24,0.7654000000,112.301803844159
2016-04-25,0.6306000000,112.290910346738
2016-04-26,0.7375000000,112.299191801376
2016-04-27,0.6298000000,112.309640580149
2016-04-28,0.6274000000,112.331289334436
2016-05-01,1.8823000000,112.358047539541
2016-05-02,0.6236000000,112.365054187385
2016-05-03,0.6172000000,112.352890523700
2016-05-04,0.6116000000,112.364254127708
2016-05-05,0.6083000000,112.376704713385
2016-05-07,1.2151000000,112.398230791657
2016-05-08,0.7329000000,112.406468457992
2016-05-09,0.6092000000,112.408822736689
2016-05-10,0.5994000000,112.413305049231
2016-05-11,0.5996000000,112.422300958532
2016-05-12,0.6004000000,112.426795050525
2016-05-14,1.1979000000,112.445889822240
2016-05-15,0.7388000000,112.454197324579
2016-05-16,0.6015000000,112.456465971731
2016-05-17,0.6014000000,112.462096588137
2016-05-18,0.6001000000,112.468845438553
2016-05-19,0.6513000000,112.477303191641
2016-05-21,1.1849000000,112.482752578066
2016-05-22,0.6249000000,112.489781625275
2016-05-23,0.7624000000,112.500606577439
2016-05-24,0.7092000000,112.513082901843
2016-05-25,0.5993000000,112.517576785433
2016-05-26,0.6258000000,112.520119802962
2016-05-28,1.1946000000,112.535810891372
2016-05-29,0.6652000000,112.543296773513
2016-05-30,0.6051000000,112.546732187420
2016-05-31,0.7144000000,112.555897466655
2016-06-01,0.6022000000,112.555925532216
2016-06-02,0.6009000000,112.564939169847
2016-06-04,1.2009000000,112.585208360247
2016-06-05,0.6733000000,112.592788722326
2016-06-06,0.5960000000,112.596123190624
2016-06-07,0.6004000000,112.599507197250
2016-06-11,2.5019000000,112.655838231907
2016-06-12,0.6411000000,112.663060597696
2016-06-13,0.5915000000,112.640435540836
2016-06-14,0.5930000000,112.645989210036
2016-06-15,0.5954000000,112.652696152235
2016-06-16,0.6558000000,112.660083916048
2016-06-18,1.1924000000,112.683653158428
2016-06-19,0.5978000000,112.690389387213
2016-06-20,0.6138000000,112.683781882721
2016-06-21,0.6035000000,112.688329572556
